gardiner_code,gardiner_source,unicode_cp,unicode,unikemet_code,jsesh_code,category,description,function,core
C171,kEH_HG,138C0,U+138C0,HJ C171,C171,C-36-032,"Goddess, seated, knees up, with covered legs and arms, with the head of a lion/lioness, with two feathers (H6) on her head, forming a v shape.",Classifier hidden,C
C171A,kEH_HG,138BF,U+138BF,HJ C171A,C171A,C-36-031,"Goddess, seated, knees up, with covered legs and arms, with the head of a lion/lioness, with two feathers (H6) on her head, forming a v shape, holding a stem of papyrus with a bud (M13)",Logogram (to be hidden),C
C174,kEH_HG,138D6,U+138D6,HJ C174,C174,C-37-024,"Goddess, seated, knees up, with covered legs and arms, with two feathers (H6) on her head, in a v shape, holding a stem of papyrus with a bud (M13).",Logogram (to be hidden),C
C175,kEH_HG,138CF,U+138CF,HJ C175,C175,C-37-014,"Goddess, standing, with a cloth band around her head, with a feather (H6) on her head, right arm forward, hand at the height of the waist, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the woman, left arm hanging beside the body, holding a tie or strap, used with sandals (ankh sign, S34).",Classifier truth,C
C175A,kEH_HG,138D0,U+138D0,HJ C175A,C175A,C-37-015,"Goddess, standing, with a cloth band around her head, with a feather (H6) on her head, right arm forward, hand at the height of the waist, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the woman, left arm hanging beside the body, holding a tie or strap, used with sandals (ankh sign, S34); on top of a canal (N36).",Logogram/phonemogram (whom truth/Maat loves),C
C177,kEH_HG,138D3,U+138D3,HJ C177,C177,C-37-020,"Goddess, seated on a block throne, with a cloth band around her head, with a feather (H6) on her head, right arm forward, hand at the height of the waist, holding the head and neck of a canine animal (F12) of the length of the figure, vertically, left arm forward, hand on the knee, holding a tie or strap, used with sandals (ankh sign, S34), horizontally at the loop.",Logogram (in name Ramses II),C
C178A,kEH_HG,138D4,U+138D4,HJ C178A,C178A,C-37-022,"Goddess, standing, with a cloth band around her head, with a feather (H6) on her head, right arm forward, hand at the height of the waist, holding the head and neck of a canine animal (F12) of the length of the figure, left arm hanging beside the body.",Logogram (in name Ramses II),C
C179,kEH_HG,138D5,U+138D5,HJ C179,C179,C-37-023,"Goddess, seated, knees up, with covered legs and arms, with a cloth band around her head, with a feather (H6) on her head, holding a feather (H6), vertically; on top of a gateway (O32B), with a conical loaf of bread (X8) written inside.",Logogram (gate which gives truth),C
C17A,kEH_HG,137B8,U+137B8,HJ C017A,C17A,C-09-075,"God, seated, knees up, with covered legs and arms, with the head of a falcon, wearing a headdress consisting of two plumes with a sun disk (S63A/S70).",Classifier Montu (divinity),C
C17B,kEH_HG,137B9,U+137B9,HJ C017B,C17B,C-09-076,"God, seated, knees up, with covered legs and arms, with the head of a falcon, wearing a headdress consisting of two plumes with a sun disk (S63A/S70), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Classifier divinity,C
C180,kEH_JSesh,138D7,U+138D7,C180,C180,C-38-003,"Goddess, seated, both knees down, with long hair, with a clump of three papyrus flowers (M16A) on her head, arms raised in front, hand horizontally at the height of the shoulder, hand palm up.",Logogram (Meret),C
C180B,kEH_HG,138DA,U+138DA,HJ C180B,C180B,C-38-008,"Goddess, seated, both knees down, with long hair, with a clump of three papyrus flowers (M16A) on her head, both arms raised in front, hand palms outwards.",Classifier divinity/musician,C
C180C,kEH_HG,138DB,U+138DB,HJ C180C,C180C,C-38-009,,,
C182,kEH_HG,138DC,U+138DC,HJ C182,C182,C-38-012,"Goddess, standing, with long hair, with a clump of three papyrus flowers (M16A) on her head, arms raised in front, hand horizontally at the height of the shoulder, hand palm up.",Logogram (Meret),C
C182A,kEH_HG,138DD,U+138DD,HJ C182A,C182A,C-38-014,"Goddess, standing, with long hair, with a clump of three papyrus flowers (M16A) on her head, arms raised in front, hand horizontally at the height of the shoulder, hand palm up; on top of a collar of beads (S12).",Classifier divinity,C
C183A,kEH_HG,138DE,U+138DE,HJ C183A,C183A,C-39-001,"Goddess, seated, knees up, with covered legs and arms, wearing the double crown (S5) and a vulture headdress.",Logogram (Mut),C
C185,kEH_HG,138E5,U+138E5,HJ C185,C185,C-40-001,"Goddess, seated, knees up, with covered legs and arms, wearing the red crown (S3).",Phonemogram,C
C185A,kEH_HG,138E7,U+138E7,HJ C185A,C185A,C-40-004,"Goddess, seated, knees up, with covered legs and arms, wearing the red crown (S3), holding a stem of papyrus with a bud (M131) or flower vertically. ",Phonemogram,C
C185B,kEH_HG,13075,U+13075,C024,C185B,C-40-006,"Goddess, seated, knees up, with covered legs and arms, wearing the red crown (S3), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically. ",Logogram (Neith),C
C185D,kEH_HG,138E6,U+138E6,HJ C185D,C185D,C-40-002,"Goddess, seated, both knees down, wearing the red crown (S3), no visible arms.",Classifier divinity,C
C188,kEH_HG,138EB,U+138EB,HJ C188,C188,C-40-014,"Goddess, standing, wearing the red crown (S3), right arm forward, hand at the height of the waist, holding a stem of papyrus with a bud (M131) or flower, of the height of the woman, vertically, left arm hanging beside the body.",Phonemogram,C
C188B,kEH_HG,138ED,U+138ED,HJ C188B,C188B,C-40-017,"Goddess, standing, wearing the red crown (S3), right arm forward, hand at the height of the waist, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the woman, left arm hanging beside the body, holding a tie or strap, used with sandals (ankh sign, S34).",Phonemogram,C
C18A,kEH_HG,1385C,U+1385C,C018A,,C-30-005,"God, seated, knees up, with covered legs and arms, with a long-curved beard and long hair/wig, wearing a headdress consisting of two feathers on ram horns (S77), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically. ",Logogram (Tatenen),C
C18C,kEH_HG,1385E,U+1385E,HJ C018C,C18C,C-30-010,"God, seated, both knees down, with a long-curved beard and long hair/wig, wearing a headdress consisting of two feathers on ram horns (S77), both arms forward, holding a flagellum (S45).",Classifier Tatenen,C
C18D,kEH_HG,13861,U+13861,HJ C018D,C18D,C-30-014,"God, seated, both knees down, with a long-curved beard and long hair/wig, wearing a headdress consisting of two feathers on ram horns (S77), both arms forward, holding a flagellum (S45) and a crook (S38), opening inwards.",Phonemogram,C
C18E,kEH_HG,1385F,U+1385F,HJ C018E,C18E,C-30-011,"God, seated, both knees down, with a long-curved beard and long hair/wig, wearing a headdress consisting of two feathers on ram horns, with a uraeus at either side of the feathers; both arms forward, holding a flagellum (S45).",Logogram (Tatenen),C
C18F,kEH_HG,1385B,U+1385B,HJ C018F,C18F,C-30-004,"God, seated, knees up, with covered legs and arms, with a long-curved beard and long hair/wig, wearing a headdress consisting of two feathers on ram horns (S77).",Logogram (Tatenen),C
C19,kEH_HG,13070,U+13070,C019,C19,C-23-016,"God, in mummy form, standing upright on a platform, with a long straight beard, wearing a cap, both arms forward, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the god, vertically.",Classifier Ptah,C
C190,kEH_HG,138F1,U+138F1,HJ C190,C190,C-42-001,"Goddess, seated, knees up, with covered legs and arms, with a basket (V30) on top of a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6) on her head.",Logogram (Nephthys),C
C190C,kEH_HG,138F2,U+138F2,HJ C190C,C190C,C-42-004,"Goddess, seated, knees up, with covered legs and arms, with a basket (V30) on top of a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6) on her head, holding a stem of papyrus with a bud (M131) or flower vertically. ",Classifier sister (together with Isis),C
C190D,kEH_HG,138F3,U+138F3,HJ C190D,C190D,C-42-005,"Goddess, seated, knees up, with covered legs and arms, with a basket (V30) on top of a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6) on her head, holding a two-barbed arrowhead, with the point facing downwards, in the ground, with only the barbs visible (T22A).",Classifier mourner,C
C193,kEH_HG,138F4,U+138F4,HJ C193,C193,C-42-010,"Goddess, standing, with a basket (V30) on top of a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6) on her head, arms hanging on either side of the body.",Logogram (Nephthys),C
C195,kEH_HG,138F6,U+138F6,HJ C195,C195,C-43-002,"Goddess, seated, knees up, with covered legs and arms, with round vessel with upstanding rim (W24) on her head, holding a stem of papyrus with a bud (M13). ",Logogram (the heavens/sky),C
C195A,kEH_HG,138F7,U+138F7,HJ C195A,C195A,C-43-004,"Goddess, seated, knees up, with covered legs and arms, with round vessel with upstanding rim (W24) on her head.",Phonemogram,C
C195B,kEH_HG,138F5,U+138F5,HJ C195B,C195B,C-43-001,"Goddess, seated, knees up, with covered legs and arms, with round vessel with upstanding rim (W24) on her head, holding a stem of papyrus with a bud (M131) or flower vertically. ",Logogram (the heavens/sky),C
C196,kEH_HG,138F8,U+138F8,HJ C196,C196,C-43-006,"Goddess, standing, with round vessel with upstanding rim (W24) on her head, right arm forward, hand at the height of the waist, holding a stem of papyrus with a bud (M131) or flower, of the height of the woman, vertically, left arm hanging beside the body, holding a tie or strap, used with sandals (ankh sign, S34), at the loop.",Logogram (the heavens/sky),C
C197A,kEH_HG,138FA,U+138FA,HJ C197A,C197A,C-43-010,"Goddess, seated, knees up, with covered legs and arms, with a plan of a crossroads in a village (O49) on her head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically. ","Logogram (city, village)",C
C198,kEH_HG,13906,U+13906,HJ C198,C198,C-46-003,,,
C199,kEH_HG,138FC,U+138FC,HJ C199,C199,C-43-014,"Goddess, standing, back horizontal, arms vertical, hands at the same height as the toes, head between the two arms.",Logogram (the sky),C
C199A,kEH_HG,138FD,U+138FD,HJ C199A,C199A,C-43-015,"Goddess, standing, back horizontal, arms vertical, hands at the same height as the toes.",Logogram (the heavens/sky),C
C19A,kEH_HG,1383D,U+1383D,HJ C019A,C19A,C-23-013,"God, in mummy form, standing upright, with a long straight beard, wearing a cap, both arms forwards, holding a sceptre with a straight shaft, forked bottom, and the vertically oriented head of the Seth animal (S040), of the same size as the god, adorned with an ankh sign (S034) and a djed pillar (R011).",Logogram (Ptah),C
C19C,kEH_HG,1383E,U+1383E,HJ C019C,C19C,C-23-017,"God, in mummy form, standing upright, with a long straight beard, wearing a cap, both arms forward, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the god, vertically.","Logogram (divine, godly)",C
C1A,kEH_HG,13844,U+13844,HJ C001A,C1A,C-24-003,"God, seated, knees up, with covered legs and arms, with a long-curved beard and long wig/hair, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on its head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically. ",Classifier king of Upper Egypt,C
C1B,kEH_HG,13845,U+13845,HJ C001B,C1B,C-24-004,"God, seated, knees up, with covered legs and arms, with a long-curved beard and long wig/hair, with a sun disk (N5) on his head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically. ",Logogram (Re),C
C1D,kEH_HG,13843,U+13843,HJ C001D,C1D,C-24-001,"God, seated, knees up, with covered legs and arms, with a long-curved beard and long wig/hair, with a sun disk (N5) on his head.",Logogram (Re),C
C2,kEH_HG,1305B,U+1305B,C002,C2,C-09-029,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a sun disk (N5) on its head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram (Re),C
C20,kEH_HG,13071,U+13071,C020,C20,C-23-023,"God, in mummy form, standing upright on a platform, with a long straight beard, wearing a cap, both arms forward, holding a sceptre with a straight shaft, forked bottom, and the vertically oriented head of the Seth animal (S040), of the same size as the god, adorned with an ankh sign (S034) and a djed pillar (R011); enclosed within a shrine supported by columns resembling papyrus stems with buds (M013).",Logogram (Ptah),C
C205,kEH_HG,138FF,U+138FF,HJ C205,C205,C-44-001,"Goddess, seated, knees up, with covered arms and legs, wearing a headdress consisting of the white crown and two bovid horns, holding a stem of papyrus with a bud (M131) or flower vertically.",Classifier divinity (Sothis),C
C206,kEH_HG,13901,U+13901,HJ C206,C206,C-45-002,,,
C207,kEH_HG,13902,U+13902,HJ C207,C207,C-45-005,"Goddess, standing, with a flower enclosed by two horns (R20) on her head, right arm forward, hand at the height of the waist, holding a stem of papyrus with a bud (M131) or flower, of the height of the woman, vertically, left arm hanging beside the body.",Logogram (Seshat),C
C208,kEH_HG,13903,U+13903,HJ C208,C208,C-45-006,"Goddess, standing, with a flower enclosed by two horns (R20) on her head, right arm forward, hand at the height of the waist, holding a club, angled forward, with the head of the club on top a vertical stick held by the left hand.",Logogram (Seshat),C
C209,kEH_HG,13904,U+13904,HJ C209,C209,C-45-007,"Goddess, standing, with a flower enclosed by two horns (R20) on her head, right arm forward, hand at the height of the waist, holding a club, angled forward, with the head of the club on top a vertical stick held by the left hand, facing a god, standing, with a long-curved beard, wearing the Atef crown with horns, right arm forward, hand at the height of the waist, holding a club, angled forward, with the head of the club on top a vertical stick held by the left hand, both sticks within an oval of rope.",Logogram (stretching the rope),C
C20A,kEH_HG,13840,U+13840,HJ C020A,C20A,C-23-021,"God, in mummy form, standing upright on a platform, with a long straight beard, wearing a cap, both arms forward, holding a sceptre with a straight shaft, forked bottom, and the vertically oriented head of the Seth animal (S040), of the same size as the god, adorned with an ankh sign (S034) and a djed pillar (R011); placed within the façade of a shrine (O021), itself located inside a larger shrine supported by columns resembling papyrus stems with buds (M013).","Logogram (divine, godly)",C
C21,kEH_HG,13772,U+13772,C021B,C21,C-04-011,"God, seated on heel, right knee raised, with the head of a jackal, right arm angled in front of the body, left arm raised, hand held vertically, hand palm inwards (hnw gesture).",Classifier jubilation,C
C211,kEH_HG,13905,U+13905,HJ C211,C211,C-46-002,"Goddess, standing, with a star (N14) on her head, both arms hanging beside the body.",Phonemogram,C
C214,kEH_HG,13909,U+13909,HJ C214,C214,C-47-005,"Goddess, seated, knees up, with covered arms and legs, with the pole of a balance, resembling a column with a base, with a tenon at the top (O28B), with a plummet resembling a heart (F34) hanging from the crossbeam (U39N) on her head.",Logogram (the throne (Edfu)),C
C216B,kEH_HG,13915,U+13915,HJ C216B,C216B,C-47-031,"Goddess, seated, knees up, with covered arms and legs, wearing the Atef crown with horns, holding a tie or strap, used with sandals (ankh sign, S34), vertically. ",Classifier divinity,C
C217,kEH_HG,1391A,U+1391A,HJ C217,C217,C-47-041,"Goddess, seated, knees up, with covered arms and legs, with a feather (H6) angled forwards and a falcon (G5) on her head, holding a feather (H6) horizontally.",Logogram (the west),C
C218,kEH_HG,13916,U+13916,HJ C218,C218,C-47-036,"Goddess, seated, knees up, with covered arms and legs, with long hair, with a fish, with its tail orientated downwards (K4A) on her head.",Logogram,C
C218A,kEH_HG,13917,U+13917,HJ C218A,C218A,C-47-037,"Goddess, seated, knees up, with covered arms and legs, with long hair, with a fish, with its tail orientated downwards (K4A) on her head, holding a stem of papyrus with a bud (M131) or flower vertically. ",Classifier divinity,C
C22,kEH_HG,13775,U+13775,C022N,C22,C-04-017,,,
C222B,kEH_HG,1391E,U+1391E,HJ C222B,C222B,C-47-054,"Goddess, seated, knees up, with covered arms and legs, with long hair, with a crescent moon with the entire moon disk (N62) on her head.",Logogram (moon)?,C
C224,kEH_HG,138E2,U+138E2,HJ C224,C224,C-39-007,"Goddess, standing, wearing the double crown (S5), right arm forward, hand at the height of the waist, holding a stem of papyrus with a bud (M131) or flower, of the height of the woman, vertically, left arm hanging beside the body, holding a tie or strap, used with sandals (ankh sign, S34), at the loop.",Logogram (Hathor),C
C228,kEH_HG,13891,U+13891,HJ C228,C228,C-35-034,"Goddess, standing, with a headdress of bovine horns with a sun disk (F102), right arm forward, hand at the height of the waist, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the woman, left arm hanging beside the body, holding a tie or strap, used with sandals (ankh sign, S34), at the loop.",Logogram (gold),C
C229,kEH_HG,1391F,U+1391F,HJ C229,C229,C-47-057,"Woman/goddess, standing, right arm forward, hand at the height of the waist, holding a duck or goose at the wings, left arm hanging beside the body.","Classifier (Sekhet, goddess of the marshlands)",C
C22A,kEH_HG,13774,U+13774,HJ C022A,C22A,C-04-015,"God, seated on nothing, with the head of a jackal and tail, right arm forwards, holding a shield, left arm raised at the back, forearm vertical, holding a stick.",Logogram (to drive away),C
C22B,kEH_HG,13773,U+13773,HJ C022B,C22B,C-04-013,"God, seated on nothing, with the head of a jackal and tail, right arm forwards, hand at the height of the face, left arm raised at the back, forearm vertical, holding a stick.",Logogram (to drive away),C
C22C,kEH_HG,13777,U+13777,HJ C022C,C22C,C-04-019,"God, seated on nothing, with the head of a jackal and tail, right arm forwards, hand at the height of the shoulder, holding a knife (T30A) vertically, left arm raised at the back, forearm vertical, holding a stick.",Logogram (to drive away),C
C22D,kEH_HG,13782,U+13782,HJ C022D,C22D,C-04-036,,,
C22F,kEH_HG,13783,U+13783,HJ C022F,C22F,C-04-038,,,
C22H,kEH_HG,13785,U+13785,HJ C022H,C22h,C-04-043,"God, seated on nothing, with the head of a jackal and tail, right arm forwards, hand at the height of the shoulder, holding a knife (T30A) vertically, left arm raised at the back, forearm vertical, holding a knife (T30A) with the blade downwards.",Logogram,C
C23,kEH_HG,13778,U+13778,C023B,C23,C-04-021,"God, seated on nothing, with the head of a jackal and tail, right arm forwards, hand at the height of the shoulder, holding a stick vertically, running from the hand to the knee, left arm raised at the back, forearm vertical, holding a stick.",Classifier driving away,C
C231,kEH_HG,13907,U+13907,HJ C231,C231,C-47-001,"Goddess, seated, knees up, with covered arms and legs, with the head of a bovid.",Classifier bovid divinity,C
C233,kEH_HG,13910,U+13910,HJ C233,C233,C-47-020,"Goddess, seated, knees up, with covered arms and legs, with the head of a desert hare.",Phonemogram,C
C233A,kEH_HG,13911,U+13911,HJ C233A,C233A,C-47-021,"Goddess, seated, knees up, with covered arms and legs, with the head of a desert hare, holding a stem of papyrus with a bud (M131) or flower vertically. ",Phonemogram,C
C234,kEH_HG,13913,U+13913,HJ C234,C234,C-47-027,"Goddess, standing, with the head of a desert hare, right arm forward, hand at the height of the waist, holding a stem of papyrus with a bud (M131) or flower, of the height of the woman, vertically, left arm hanging beside the body.",Phonemogram,C
C235,kEH_HG,13918,U+13918,HJ C235,C235,C-47-038,"Goddess, seated, knees up, with covered arms and legs, with the head of a frog.",Classifier Hekat,C
C238,kEH_HG,13927,U+13927,HJ C238,C238,C-48-006,"Goddess, standing, with a seat (Q3) on her head, both arms forward, facing a goddess, standing, with a basket (V30) on top of a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6) on her head, both arms forward; both goddesses have one hand above and one hand below a sun disk (N5).",Logogram (morning),C
C239,kEH_HG,13923,U+13923,HJ C239,C239,C-48-001,"Goddess, standing, with a seat (Q3) on her head, both arms forward, facing a goddess, standing, with a basket (V30) on top of a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6) on her head, both arms forward; both goddesses have one hand above and one hand below a sun disk with rays of sunlight coming forth from it (N8), with a star written below the arms.",Logogram (morning),C
C24,kEH_HG,13779,U+13779,C024A,C24,C-04-022,"A mummy, with the head of a jackal, standing upright.",Logogram (Duamutef),C
C240,kEH_HG,13924,U+13924,HJ C240,C240,C-48-002,,,
C242,kEH_HG,1392A,U+1392A,HJ C242,C242,C-48-009,"Four women/goddesses, standing, first two looking towards the back, last two looking forwards, arms raised, supporting the sky (N1).",Logogram (the (four) supports),C
C25,kEH_HG,1377A,U+1377A,HJ C025,C25,C-04-023,"God, standing, with the head of a jackal, right arm forward, hand at the height of the waist, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the god, vertically, left arm hanging beside the body.",Logogram (to be strong),C
C253,kEH_HG,13854,U+13854,HJ C253,C253,C-27-006,,,
C255B,kEH_HG,13920,U+13920,HJ C255B,C255B,C-47-059,"Goddess, seated, knees up, with covered arms and legs, with long hair, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on her head.",Classifier divinity,C
C255C,kEH_HG,13921,U+13921,HJ C255C,C255C,C-47-060,"Goddess, seated, knees up, with covered arms and legs, with long hair, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on her head, holding a stem of papyrus with a bud (M13).",Classifier divinity,C
C25A,kEH_HG,1377C,U+1377C,HJ C025A,C25A,C-04-025,"God, standing, with the head of a jackal, right arm forward, hand at the height of the shoulder, holding the top of a staff, which angles towards the body, left arm hanging beside the body",Logogram (Anubis),C
C26,kEH_HG,1377D,U+1377D,HJ C026,C26,C-04-026,"God, standing, with the head of a jackal, both arms forward, right hand at the height of the shoulder, left hand at the height of the waist, both holding a knife (T30A).",Classifier messenger,C
C260,kEH_HG,138A7,U+138A7,HJ C260,C260,C-35-080,"Goddess, seated, both knees down, back bent forward, with a seat (Q1) on her head, and a band of cloth around her forehead, both arms forward, hands at the height of the waist.",Logogram (the widow),C
C261,kEH_HG,13667,U+13667,HJ C261,C261,A-27-010,"God, standing, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) upon his head, with long-curved beard and long wig, right arm forward, holding a sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (wAs, S40); left arm hanging beside the body.","Logogram (noble, splendid)",C
C262A,kEH_HG,1375C,U+1375C,HJ C262A,C262A,C-01-038,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and short hair/wig, with a cobra in repose (Naja haje (I10)) upon his head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Classifier divinity (Chay),C
C264,kEH_HG,13850,U+13850,HJ C264,C264,C-26-019,"God, in mummy form, standing upright, with the head of a donkey/ass, with a knife (T30A) at the face, blade downwards.","Classifier creation, form",C
C267,kEH_HG,13929,U+13929,HJ C267,C267,C-48-008,"Goddess, seated, knees up, with covered legs and arms, with a seat (Q1) on her head, facing a goddess, seated, knees up, with covered legs and arms, with a basket (V30) on top of a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6) on her head, with a group of a sand covered mountain over the edge of the cultivated areas (N26) sign and two half round loafs of bread (X1) written above their knees.",Logogram (the two of the horizon),C
C268,kEH_HG,137A1,U+137A1,HJ C268,C268,C-09-031,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on its head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram (Re),C
C268A,kEH_HG,1379D,U+1379D,HJ C268A,C268A,C-09-020,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on its head.",Logogram (Re),C
C268B,kEH_HG,1379F,U+1379F,HJ C268B,C268B,C-09-024,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on its head, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically. ",Logogram (Re),C
C268C,kEH_HG,137A0,U+137A0,HJ C268C,C268C,C-09-028,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on its head, holding a harpoon head made of bone, with one curl (T19), with the curl facing forward.",Logogram (day),C
C268D,kEH_HG,137A6,U+137A6,HJ C268D,C268D,C-09-040,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on its head, holding a sceptre (S42) vertically.",Logogram (Re and image),C
C268G,kEH_HG,137A7,U+137A7,HJ C268G,C268G,C-09-043,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on its head, holding an eye, with the markings of the head of a falcon (wdꜣ.t, D10).",Logogram (the eye of Re),C
C27,kEH_HG,1378A,U+1378A,HJ C027,C27,C-04-054,"God, standing, with the head of a jackal, right arm forward, hand at the height of the waist, holding a stick, left arm raised at the back, forearm vertical, holding a stick.",Logogram (decease deamon),C
C270,kEH_HG,1375F,U+1375F,HJ C270,C270,C-02-004,"God, both knees up, with covered legs and arms, with the head of a vulture, holding a knife (T30A).",Classifier divinity,C
C272,kEH_HG,13790,U+13790,HJ C272,C272,C-05-005,"God, standing, with the head of a bovid, right arm forward, hand at the height of the shoulder, holding a knife (T30A), left arm hanging beside the body.",Classifier protector,C
C274,kEH_HG,13872,U+13872,HJ C274,C274,C-32-002,"An oval of sand, with two human heads on top, at either end, facing outwards.",Classifier earth-god,C
C274A,kEH_HG,13B27,U+13B27,HJ C274A,C274A,E-22-041,The forepart of a sphinx.,Classifier divinity Aker,C
C274B,kEH_HG,13B28,U+13B28,HJ C274B,C274B,E-22-042,"Two foreparts of sphinxes, connected back-to-back.",Classifier divinity Aker,C
C275,kEH_HG,138B2,U+138B2,HJ C275,C275,C-36-007,"God, seated, knees up, with covered legs and arms, with the head of a lion, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically. ",Classifier leonid divinity (male),C
C275A,kEH_HG,138B4,U+138B4,HJ C275A,C275A,C-36-010,"God, seated, knees up, with covered legs and arms, with the head of a lion, holding a knife (T30A), angled forwards.",Classifier leonid divinity (male),C
C276,kEH_HG,138D8,U+138D8,HJ C276,C276,C-38-004,"Goddess, seated, both knees down, with long hair, with a clump of three papyrus flowers, with two buds bent down (M15) on her head, arms raised in front, hand horizontally at the height of the shoulder, hand palm up.",Classifier divinity,C
C277,kEH_HG,1391B,U+1391B,HJ C277,C277,C-47-046,"Goddess, seated, knees up, with covered arms and legs, with a scorpion (L19) on her head, holding a stem of papyrus with a bud (M13).",Logogram (Serqet),C
C278,kEH_HG,1391C,U+1391C,HJ C278,C278,C-47-048,"Goddess, seated, knees up, with covered arms and legs, with long hair, with a sceptre with a straight shaft, a forked base, topped with the head of the Seth animal, with a fillet and feather (R19), on top of a canal (N36) on her head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward.",Logogram (Thebes),C
C27A,kEH_HG,13780,U+13780,HJ C027A,C27A,C-04-031,"God, standing, with the head of a jackal, right arm forward, hand at the height of the waist, holding an oval shield, left arm raised at the back, forearm vertical, holding a stick horizontally.",Logogram (to drive away),C
C27B,kEH_HG,13786,U+13786,HJ C027B,C27B,C-04-044,"God, standing, with the head of a jackal, right arm forward, hand at the height of the waist, holding a knife (T30A), left arm raised at the back, forearm vertical, left hand as a fist.",Classifier,C
C27D,kEH_HG,13787,U+13787,HJ C027D,C27D,C-04-045,,,
C28,kEH_HG,13781,U+13781,HJ C028,C28,C-04-033,,,
C280,kEH_HG,13791,U+13791,HJ C280,C280,C-05-006,"God, standing, with the head of a bovid, right arm forward, hand at the height of the waist, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the god, vertically, left arm hanging beside the body.",Phonemogram,C
C282,kEH_HG,13894,U+13894,HJ C282,C282,C-35-041,"Goddess, seated on a block throne, wearing a headdress of bovine horns with a sun disk (F102), without visible arms.",Classifier Hathor,C
C285,kEH_HG,13871,U+13871,HJ C285,C285,C-32-001,"God, standing, with a long sash-kilt, no beard and short hair/wig, wearing a headdress consisting of four plumes and a sun disk, right arm forward, hand at the height of the waist, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the god, vertically, left arm hanging beside the body.",Logogram (son of Re),C
C286,kEH_HG,13873,U+13873,HJ C286,C286,C-32-003,"God/man, standing on a base, with coif/short hair, without beard, with a palm branch, stripped of leaves and notched on his head, notch and curve backwards, arms raised at either side of the body, hands above the height of the head, hand palms inwards.",Logogram (eternity),C
C289,kEH_HG,138BC,U+138BC,HJ C289,C289,C-36-023,,,
